year,grade,sub,group,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
2011,4,"read","hsp",.76304239,.31293702,.65005547,.57378978,.91817051,.94774956,1.0314671,.69818401,1.4434606,.49095699,.49704334,.48459521,.7171768,.78388488,.64460641,.68909627,.61345434,.11599504,.38092005,.17384413,.52317959,.94952041,.58841616,.89373052,.40191802,.46183005,.39397961,.65530276,.58844125,.45992857,.79341447,.67490643,.71755004,.76536083,.47345322,.61912769,.42780644,.74618018,.90627104,.81001294,.49933726,.50164032,.54994059,.76957375,.83573502,.44864532,.75787562,.82345998,.61307615,.76266891,.47180548
2013,4,"read","hsp",.66763723,.39397672,.71479785,.40273228,.86986113,.78430408,.89000475,.60243416,1.4712816,.37985542,.58114278,.53781754,.70668727,.73545396,.4246909,.47250614,.63720989,.20940323,.3533704,9999,.64406663,.96547151,.43959442,.71783316,.49758789,.26477236,.41385341,.6126982,.66332483,.77595448,.83093256,.64188653,.67816776,.64292896,.32473591,.5259167,.53157765,.66800714,.7056272,.86580622,.35167059,.49539566,.61785412,.82492399,.89381534,9999,.69207281,.73528767,9999,.74627382,.44748458
1990,8,"math","blk",1.1308687,9999,.91515326,1.3834685,1.2510431,1.3006328,1.2248801,.90167385,2.1057932,1.1311095,1.0506901,.69334853,9999,1.3267519,1.0876123,.99970067,9999,.64921039,1.1503509,9999,1.1646614,9999,1.530414,1.3968025,9999,9999,9999,1.6035178,9999,9999,1.44537,1.195048,1.317698,1.0730513,9999,1.2871574,1.244525,1.0124843,1.2948148,1.2597613,9999,9999,9999,1.4397194,9999,9999,.98659205,9999,.88374949,1.5685773,9999
1992,8,"math","blk",1.0919961,9999,.8060416,1.1711854,1.2602508,1.1838136,1.3577204,.95298809,1.9481061,1.1110989,.98993826,.53113848,9999,1.2707921,.99943441,1.0572444,9999,.76523793,1.0410167,.30667675,1.1580819,1.0275803,1.4421841,1.069043,1.0924395,1.1407138,9999,1.4829386,9999,9999,1.3424382,1.1444098,1.3456444,.88225824,9999,1.2926035,1.1373553,.98336013,1.1910236,.9508698,1.0640047,9999,1.0633212,1.073773,9999,9999,.92088819,9999,.58791918,1.1085898,9999
1996,8,"math","blk",1.2738383,1.2202991,.80800742,1.1305006,.92387843,.90507996,1.3799469,1.0445832,1.9850127,1.331773,1.1587087,.57118523,9999,1.1588725,1.1422439,.89086264,9999,.73570216,1.2169845,.33129425,1.3009241,1.0106026,1.1935909,1.2347683,1.0982018,1.1585172,9999,1.1198237,9999,9999,1.3022513,.95735389,1.191105,.94916111,.72918338,1.1596367,1.0440991,.92511177,1.1944347,.98981345,.9549883,9999,1.1118746,1.242913,9999,9999,1.1632499,1.0784714,.68635839,1.5435628,9999
2000,8,"math","blk",1.0978833,1.0180976,1.0975795,1.2318485,1.1252528,1.0640745,1.5732841,.97080416,2.0049422,1.2037197,1.0663841,.63637418,9999,1.0469528,.88042682,.93434508,.93699771,.73627931,1.2680522,.35591176,1.2376957,1.0387139,1.4629261,1.4420633,1.0857431,1.2374254,9999,1.2074761,.85809088,9999,1.2620644,.69615471,1.0777177,1.1297723,.82694572,1.0266699,.9508428,.90103501,1.1978457,1.0574346,.9969632,9999,1.0238336,1.1484361,.80813372,9999,1.0608279,.83577497,.6656478,1.5323181,9999
2003,8,"math","blk",1.0609214,.86644644,.91388446,1.0735984,1.0687336,1.1833204,1.194904,.91546988,2.3329253,1.1076797,1.0279634,.40089926,9999,1.2429122,1.0756152,.96695691,1.2518141,.79147398,1.014413,.3743749,.98369491,1.0631242,1.3083555,1.2644942,1.0365523,1.109172,9999,1.2240413,.87920672,.90153885,1.2319242,.94901091,1.1744149,1.0527383,.90026748,1.0185963,.92886603,.57108742,1.200404,1.0913281,1.110587,.88039368,1.0410242,1.059649,.8813929,.59744287,.94778693,.65375262,.60914075,1.5238847,.27884471
2005,8,"math","blk",1.0743207,.66498613,.77451205,1.1810237,1.0243489,1.1044357,1.3428917,.92180282,2.1335773,1.0296776,.90991038,.15802746,.3699618,1.2840637,.95168948,.98339981,.99705446,.64038455,1.0115458,.78690672,1.0290984,1.028428,1.1528515,1.3412875,1.1143073,1.2134417,9999,1.5368292,.98091298,.47953677,1.0560863,.656066,1.0191178,.89780504,.49567977,1.0971674,.9184618,.8393954,1.1620327,1.0318644,1.0635254,1.0230135,1.0351948,1.0045519,.83930439,.8748495,1.0287265,.69641072,.60898477,1.43329,.61732692
2007,8,"math","blk",1.0204796,.79360062,.71406627,.846044,1.0087403,.73025924,1.1600648,1.0273559,2.2273068,.89885712,.87381798,.25264871,.67861634,1.1723627,1.0314757,.98880631,.93720621,.77255154,.93297559,.58323324,1.1384951,1.3092064,1.2523985,1.1049575,1.0056348,1.1560292,9999,1.4935772,.74265325,.74952167,1.0936912,.67291754,1.0170825,.95010513,.857732,1.0704646,.77875674,.43493778,1.0619657,.98664069,.86193264,.52479523,.93066674,.9948045,1.0075812,.39532208,.9330852,.73446894,.74038726,1.4217763,.58473724
2009,8,"math","blk",.98275137,.83383554,.6151588,1.0295764,1.0596229,1.0637745,1.1785799,.9183681,2.1684265,.77137762,.85836643,.34333551,.76164538,1.2413301,.8466782,.8643235,.9334569,.77420425,.89725095,.7958864,1.161124,.97398067,1.1939688,1.1652684,.98847669,1.0059716,.70786136,1.1148849,.97981596,.46687952,1.0471958,.83025122,1.0199875,1.0498862,.72921526,1.0275595,.69636059,.81073397,1.0167161,.9248836,.92980427,.8193574,.85278857,.97140086,.68903971,.53488564,.82967603,.81603217,.22827068,1.2540023,.70329976
2011,8,"math","blk",.94390619,.79464608,.75266355,.98010188,1.0276089,1.0509869,1.1232787,.91404951,1.8514879,.8951987,.91323519,.41348746,.52823836,1.0748041,.86716747,.92156273,.8794511,.74478108,.77110064,.64530098,1.0754085,.87864125,1.1387748,1.0834002,.93829602,1.0516557,.22440892,1.1153573,1.0333579,.61843389,1.0139779,.8033061,.85631442,.90662628,1.1314489,1.0925022,.81797051,.69760394,1.1500127,.98676401,.92951977,.78893077,.84960353,.93563288,.83952504,.85494512,.85942489,.87809098,.43315163,1.2180966,.87380433
2013,8,"math","blk",.90146619,.7332207,.78801894,.96759504,.98604107,1.127385,1.1038182,.89655381,1.6656873,.8526687,.88156319,9999,9999,1.0714902,.82428545,1.0411235,.82200408,.71461874,.85140514,.79051119,.89479959,.87231046,1.0874257,1.1414707,.97125411,.86498225,9999,1.3252754,.79653859,9999,.87002414,.91115236,1.0129389,.84262949,.68071467,.84209937,.76117969,9999,1.0980712,.91345561,.91097361,1.175787,.80534476,.8826322,9999,1.0407634,.90375859,.74217021,.34193617,1.3265607,9999
1990,8,"math","hsp",9999,9999,1.0013105,9999,1.1382269,.98831928,1.518383,.6787225,1.7106041,.62968767,9999,.64034218,.84630316,1.1776972,.83747602,.83851194,9999,9999,.38237172,9999,.6408003,9999,.76241702,9999,9999,9999,9999,.84277552,9999,9999,1.3789742,.89708155,1.1854525,9999,9999,.9203164,.8167854,.62820113,1.4768971,1.2847128,9999,9999,9999,1.008278,9999,9999,.30579352,9999,9999,1.0067904,.71455359
1992,8,"math","hsp",9999,9999,.91106927,9999,1.0764757,.82516211,1.398726,.71251625,1.3360726,.79511541,9999,.61744124,.71760714,1.1191513,.55502331,.50936127,9999,9999,.810992,9999,.83200437,1.2345959,.76655728,.98857754,9999,.48642465,9999,.85257834,9999,9999,1.2153052,.80842829,1.1711242,9999,9999,.66271168,.57382697,.66675133,.88122177,1.3874134,9999,9999,9999,.91396385,.72025859,9999,.37592909,9999,9999,1.1837544,.52447045
1996,8,"math","hsp",9999,.63922989,.96411431,9999,1.0344958,.89285672,1.1600547,.84398472,1.7347989,.7566126,.30884597,.68978339,.86893237,1.0020595,.81707555,.66826445,9999,9999,.5257169,9999,.61433548,1.4051775,.75303072,.69676173,9999,.38379547,.45295632,.8809098,9999,9999,1.1253552,.80054373,1.1353799,.30556631,.74229139,.66349749,.61185673,.74385172,.95484122,1.0119554,9999,9999,9999,.9402864,.71433252,9999,.43723533,1.029413,9999,.7588793,.63636303
2000,8,"math","hsp",9999,.76798608,.9911378,.43553433,.9494583,.96244654,1.2732172,.86560769,1.8615066,.69255654,.63116688,.61447811,1.0202576,.88496774,.90805912,.82262566,.89291859,9999,.57961661,9999,.62182188,1.086882,.96622038,1.0260361,9999,.55545993,.72995198,1.1355331,.80055708,9999,1.0354052,.8022359,.96114725,.62962717,.76843995,.66428329,.64988649,.7773754,1.0284607,1.0575156,9999,9999,.31398091,.71586126,.97339052,9999,.30563828,.81681429,9999,.81366765,.80064535
2003,8,"math","hsp",1.0415241,.86455321,.86950362,.77421367,.97294551,1.0146389,1.035579,.88182491,2.1796312,.6445145,.68113369,.3300969,1.0184584,.97864562,.87355113,.93839657,.84046072,.83509916,.37181526,9999,.80295217,1.1619223,.65849268,1.0177925,.69819713,.68420827,.48159888,1.0123626,.86350834,.96943384,.96794271,.90043485,.95414442,.89325768,.78805137,.66487265,.63686502,.79817402,1.0836753,1.0943544,.60576898,.86293316,.76209795,.80236244,1.1062036,9999,.69037282,.65736526,9999,.85475892,.72876972
2005,8,"math","hsp",.52356422,.50527102,.83588094,.48892358,.85710037,1.0097623,1.1808187,.82114357,1.8306917,.62855047,.78860116,.58054644,.75657183,.78748161,.80632758,.78480238,.79794365,.66786504,.749345,9999,.82603121,1.0043451,.64716858,1.0455209,.28328788,.66760379,.32667613,.94767225,.73975694,.91625327,.91366827,.75563937,.88359708,.75898385,.70930618,.81839406,.64673799,.89208657,.65679997,1.1620449,.76387125,.69756413,.60056394,.77089059,.83407277,9999,.67913252,.78907698,9999,.84675699,.68095434
2007,8,"math","hsp",.92590308,.63954145,.84716344,.79397702,.93127871,1.00155,1.1127346,.8715874,1.9563526,.53869325,.67577159,.4281303,.71841043,.82037061,.69892186,.84138209,.86795056,.74313146,.68943268,.50156212,.82265061,1.074975,.84168208,.89697361,.49508741,.58293211,.30305156,.95272547,.75314546,.72844648,.86192429,.78465956,.7861926,.65992403,1.0755527,.48214263,.72804409,.81192017,.84478199,.97929454,.60375863,.71377993,.57502908,.78838414,.90882796,.67770875,.62487417,.81561804,9999,.73795968,.52591443
2009,8,"math","hsp",.61649466,.57046384,.76540846,.48377752,.94187737,.98490864,1.0515162,.57132655,1.6529783,.4535045,.62403685,.13143182,.84780324,.80723602,.62543887,.6594035,.64793134,.28954071,.10014454,.60814029,.82356966,1.00547,.51415557,.9670198,.67481244,.13414444,.53860664,.95256674,.77580684,.64723134,.89206541,.8506819,.93908906,.68397874,.51450598,.76652056,.64021564,.80061352,.8304044,.93903178,.76174146,.94875884,.35913983,.76891476,.96032405,.08704325,.61405206,.99193221,.0956424,.78149235,.68645859
2011,8,"math","hsp",.81782746,.60143131,.81971079,.49694833,.88758749,.95040792,1.0912812,.62513036,1.6567786,.42180502,.42396149,.82663041,.72465402,.69952422,.49886337,.62078136,.69671327,.44891283,.45052943,.30492178,.84051782,.97987056,.37794197,1.0106391,.31285557,.65653318,.41459265,.93106288,.81779552,.83760667,.90912628,.64859688,.88245565,.64763516,.58252931,.66602689,.68714821,.6031394,.72066694,.91180938,.57145119,.6913178,.46148276,.69231945,1.025663,.21896972,.55373222,.7112236,.4455663,.76288474,.65035385
2013,8,"math","hsp",.71603245,.53330863,.72370625,.3852523,.82636416,.78669918,1.1472819,.5174858,1.426147,.49707207,.47452188,.30853632,.74887657,.70076191,.44722447,.71712291,.59688449,.43416923,.22651859,9999,.54012746,.91331023,.76447475,.81874269,.19024174,.39090312,.37050939,.79482418,.63213426,.7783035,.59546053,.65027827,.88189173,.51884353,9999,.49799323,.49312279,.69391066,.99166346,.88381851,.56086987,.56085002,.38969061,.63087595,.95410454,9999,.51508468,.66172713,9999,.70694089,.41352507
1998,8,"read","blk",.93243515,9999,.99075854,.97567451,.90223318,.88749081,1.1927891,.74864328,1.598269,1.0329695,.95791727,.16183595,9999,9999,9999,9999,9999,.69640255,1.0292441,9999,.96218187,.94775885,9999,1.0855999,.85364383,.81905311,9999,9999,.75820619,9999,9999,.54232115,.9560616,.80714369,9999,9999,.66072953,.88949418,9999,.43670443,.84767652,9999,.98167527,.91159248,9999,9999,.82391644,.67978114,.58456057,1.1248423,9999
2002,8,"read","blk",.96043575,9999,.61362553,.92334527,.75268191,.80453168,1.2282114,.89169681,1.0386686,.7830705,.73201162,.59064502,.57373023,9999,.71411741,9999,.95525223,.6548062,.93138391,.70446843,.88302958,1.0679417,.86467052,.9709722,1.0653296,.86297894,9999,1.025888,.78694636,9999,9999,.32987669,.72844523,.98413765,9999,.92823547,1.0059016,.23595022,1.1008657,.8307882,.97524375,9999,.81151009,.97740793,.65544206,.19231756,.86298651,.7387827,.7672208,1.1806955,.45686617
2003,8,"read","blk",.77699655,.62705845,.70136583,1.0067563,.75079757,.7837919,.95602047,.83522159,1.9590137,.86855006,.77244544,-.08310886,.34801475,.95735329,.76131636,.83009404,.87940717,.75314641,.90141821,.48615038,.78462356,.84705353,.96873069,.94231528,.86181426,.97277623,9999,1.0117797,.87307841,.27189896,.94635975,.68707895,1.0207521,.8208276,.22128366,.75457472,.75077504,.48023307,.8334502,.74928343,.86806029,.53294218,.81141102,.84986579,1.2370685,.62505215,.82759368,.51964736,.40316844,1.1946588,.72383142
2005,8,"read","blk",.82154316,.58966494,.75793636,.88540584,.73103201,.61215073,.98923683,.86888939,1.9363862,.77110988,.86302847,.4083437,-.1034162,.90420544,.78236908,.72385824,.77438039,.56734216,.80953169,.7044453,.87931734,.84992504,.90061581,1.02905,.90950757,.92542523,.90161991,.91571254,.61045843,.47949874,.92719293,.40881285,1.1029977,.85363764,-.04189439,.93214136,.7197547,.65380985,1.0149509,.75786585,.77305919,.28229794,.79802018,.75216609,.74980104,.28861558,.79274875,.33341998,.58512574,1.0594692,.48050669
2007,8,"read","blk",.78841054,.57887697,.6182248,.98865902,.84873438,.74204624,.95469147,.8227368,1.7118037,.72948927,.82502252,.21948588,.35697854,.89105219,.84422082,.64582866,.90598017,.56396872,.79584593,.48642904,.89932489,.87177891,1.0054151,.86844933,.85614449,.89498717,.71652639,.87595952,.48216558,.28332558,.97225767,.62715912,.93806446,.9185794,.56283754,.92033535,.7199102,.63144249,.81146336,.87019968,.88298094,.56073552,.9023307,.89066023,.36863095,.15671562,.7084648,.70616996,.46645933,1.1247669,.76019645
2009,8,"read","blk",.85820204,.76444781,.5721882,.97876352,.81156248,.81417781,1.1461843,.70963562,1.6123891,.71081603,.63454831,.37580106,.05126838,1.0311201,.67838287,.81401622,.86061549,.65375,.70245409,.41868839,.92981476,.85878199,.92027229,1.0609268,.84459168,.80174881,.22522254,.97785997,.7389248,.47677422,1.0352465,.78519982,.91639322,.85417533,.28173813,.88654506,.57042134,.46950355,.87379068,.86929697,.78052038,.65358877,.8003335,.84005761,.68450665,.31652847,.79859668,.85213327,.17079338,1.0302585,.26522747
2011,8,"read","blk",.80736154,.72575647,.70357436,.91091734,.76676792,.70960146,.91817099,.65060395,1.6034415,.73927146,.7581619,.40202245,.32151565,.80031461,.69703764,.69263309,.79695773,.78565246,.72669542,.65148485,.859743,.86524767,.83541167,.84752482,.93426526,.88445145,.39996257,.72663033,.62931269,.86457735,.96451122,.75694984,.77414709,.76486027,.62282157,.87476969,.61704153,.57635474,.97410381,.74093288,.82302266,.65293223,.73831427,.79534215,.52816367,.53863865,.73189133,.54584849,.25467688,1.0245411,.32300392
2013,8,"read","blk",.78640479,.66047311,.74370551,.75215656,.88077855,1.0526905,.80114722,.66354465,1.7151779,.63626623,.6929251,.44073415,9999,.94149399,.81358188,.74803072,.86167544,.77000439,.75528812,9999,.75700492,.90786046,.83020228,.86078411,.87644947,.84020936,9999,.7898953,.72182387,9999,.75495934,.76100695,.76184458,.67861342,.49569017,.75150478,.70515221,9999,.89952743,.77115351,.7436626,9999,.60481822,.86142766,9999,.50672996,.78229779,.68520898,.07402103,1.0536411,9999
1998,8,"read","hsp",9999,9999,.82959813,.28895026,.95268655,.93137777,1.065102,.49657583,1.3280808,.49029398,.70506096,.34057271,9999,9999,9999,9999,9999,9999,9999,9999,.355571,1.0294242,9999,.56888258,9999,9999,.88127297,9999,.66764313,9999,9999,.7856307,.9694171,.90363705,9999,9999,.77513617,.7664811,9999,.76655382,9999,9999,9999,.77289456,.41728067,9999,.39989489,.73735255,9999,.54879338,.51363796
2002,8,"read","hsp",.86877286,9999,.81529677,.65180051,.89621174,.87050946,1.2583327,.92479777,1.1652222,.55302298,.81110811,.86787283,.7600956,9999,.50417149,9999,.63316983,9999,.02740389,9999,.70033169,.99192297,.36047405,.8331641,9999,.24502872,1.0110319,.87035191,.72660351,9999,9999,.60381341,.80333543,.73689216,.48398975,.50846809,.60867023,.75743651,.91846412,.89007491,.37092155,9999,.10430161,.85770386,.95248801,9999,.49549821,.63899249,9999,.74739972,.62357527
2003,8,"read","hsp",1.0516546,.61977768,.84452814,.26464388,.8068462,.85529238,.92860246,.83870733,1.7819334,.50367248,.72904253,.18001953,.75702459,.84270418,.67535263,.81953537,.71511716,.53449655,.36780855,9999,.54054344,.99853659,.45526195,.89923447,.22428043,.25299215,.26464936,.91053665,.81527209,.64479476,.8875435,.77673286,.85080087,.84667748,.28458753,.1445,.48764613,.52164209,.41005003,.92547727,.42056516,.45310986,.69995254,.78883183,.81781751,9999,.3186284,.6709668,9999,.79705131,.48634887
2005,8,"read","hsp",.72004443,.43548441,.81154937,.54216671,.758479,.82693702,.87514347,.77745652,1.5608151,.36520636,.6271978,.57778955,.64128804,.60568517,.53383428,.45910692,.73746765,.38250518,.20006922,9999,.5040099,1.0481702,.56606072,.87298,.31414601,.39255881,.73417449,.88445693,.59478641,.48532301,.88663661,.6137951,.82494837,.59264791,.10917646,.8534506,.64633268,.70876634,.79145187,.914222,.36116964,.64101356,.41625527,.70115298,.675924,9999,.56290543,.66562468,9999,.69260424,.49404684
2007,8,"read","hsp",.33288169,.39782906,.87541312,.56813765,.78969276,.8115344,1.0017105,.58268398,1.3909878,.38345751,.68513066,.35612708,.75602686,.66856605,.38399234,.63115698,.79100877,.33136359,.34289256,.15083018,.58339536,.93398279,.76838738,.76593727,.38927013,.72118986,.33179408,.54843432,.69605643,.61387968,.74318331,.64645898,.87674052,.71303648,.10677882,.44584045,.80330855,.81166232,.86457199,1.0607158,.78652155,.49897522,.49183053,.80450016,.73586464,-.3951242,.4770852,.71685219,9999,.6751287,.70095885
2009,8,"read","hsp",.46630934,.3426469,.71355003,.52475059,.81166077,.81526858,.85913235,.57145262,1.2198972,.37290844,.44216117,.42339361,.89887065,.71945882,.60623485,.54656065,.75663376,.11406908,.13424358,.31043351,.63600594,.8971349,.40843537,.87556565,.54397684,.33501706,.36292782,.6604135,.64675397,.42387539,.89984614,.76890504,.84278095,.61276269,.15795252,.72654492,.5890125,.69424915,.98499167,.80216336,.20053673,.37177572,.48295763,.73271,.79163826,-.23804277,.49614996,.73003477,9999,.71483332,.37247798
2011,8,"read","hsp",.64480788,.45709744,.65901953,.4069764,.66375858,.76157528,.91223961,.43916005,1.4528749,.3368552,.49481142,.74688572,.5821833,.55406868,.41861951,.5450756,.61684483,.26561517,.48205453,.41261315,.60608637,1.0341755,.29529923,.55803019,.45912391,.43872425,.423893,.64094073,.68495888,.70046192,.91562492,.62227654,.75137341,.52590728,.68704849,.73703909,.4743337,.60746121,.80680037,.80131263,.40772191,.58253443,.27610117,.68853962,.81563979,-.06539773,.46270919,.70950764,.04765767,.80406547,.44025615
2013,8,"read","hsp",.53470033,.36484593,.63992798,.39649439,.71641821,.7245062,.78411728,.40605479,1.3992985,.41957292,.42419443,.44798493,.64039421,.60831141,.40572539,.50703859,.56653136,.2779251,.28437576,9999,.55262733,.99632919,.43810058,.76946098,.4454304,.20751837,.46543705,.67407066,.61247635,.76024461,.61007637,.62337673,.74194986,.46529675,9999,.21963511,.50711364,.66940314,.90643275,.7794112,.40452743,.43599761,.24798346,.79568827,.54635984,9999,.40592137,.76597786,9999,.47210515,.42806053
